GeneID	Muscle_rep1	Muscle_rep2	Muscle_rep3	Muscle_rep4	Muscle_rep5	Muscle_rep6
XP_038408963.1	23.1365	4.84174	9.06682	4.89804	7.6852	12.225
XP_038408964.1	0.000762484	0.00147034	5.63638e-09	2.43817e-09	0.000323048	0.801229
XP_038408966.1	0.1694	0.314202	0.32926	0.787056	0.247159	0.195899
XP_038408967.1	0.858975	0.508636	0.674058	1.84711	0.795781	0.9264
XP_038408968.1	92.5448	90.3182	73.2314	35.7269	95.5829	58.6341
XP_038408971.1	0.978991	0.828665	0.486563	1.14831	1.35067	1.18955
XP_038408973.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038408982.1	5.32607	6.98438	5.49268	5.53328	4.79417	5.21731
XP_038408987.1	0.0	0.0223474	0.0	0.0336614	0.0293169	0.0498041
XP_038408988.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038408997.1	0.00979584	0.0	0.0	0.0	0.0	0.0
XP_038409007.1	0.0340808	0.0181189	0.0473253	0.0271112	0.0237241	0.0886062
XP_038409008.1	88.6865	79.6127	74.7032	85.741	63.6645	66.0932
XP_038409009.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409013.1	0.807719	6.79442e-07	4.01274e-07	7.0673e-07	1.04217	1.22276e-07
XP_038409015.1	0.337419	0.0	0.469185	0.0	0.0785095	0.0545857
XP_038409021.1	131.693	179.105	141.127	95.2283	118.867	111.398
XP_038409028.1	2.43907e-08	1.47905e-07	2.70534e-07	6.70635e-07	3.30826e-07	7.11741e-08
XP_038409032.1	14.8932	5.2979	4.7618	7.89204	4.97845	2.20255
XP_038409034.1	0.0493656	0.143044	0.0960888	0.0758465	0.0	0.0
XP_038409038.1	0.668525	2.36205e-08	0.0946444	0.0	0.0	0.262653
XP_038409046.1	4.57837	8.10751	5.11138	7.69363	9.89172	7.00721
XP_038409047.1	0.104851	0.0693239	0.0542372	0.0373129	0.0901542	0.0565751
XP_038409049.1	2.8247	2.2498	3.5394	3.95602	2.592	2.07824
XP_038409054.1	1.39321	0.710555	0.889569	0.757628	0.646764	0.50182
XP_038409055.1	2.71709	2.55679	2.42299	2.23544	3.01805	2.27834
XP_038409056.1	0.0	0.194975	0.0	0.0	0.0	6.04891e-08
XP_038409062.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409068.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409074.1	4.59743	5.47978	4.03432	4.3564	4.20181	3.68196
XP_038409076.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038409083.1	28.0619	27.4315	31.3432	25.0277	26.0673	23.9959
XP_038409085.1	0.0	0.0	0.0	0.0	0.0	0.00548527
XP_038409093.1	1.45855	0.969393	1.39313	2.61943	0.179853	1.03512
