gene_id	muscle_dietM	muscle_dietP	whole_body_dietM	whole_body_dietP
FBpp0203018	0.286393	0.200227333333333	0.360327	0.458175333333333
FBpp0203019	0.0275192666666667	0.0	2.90999666666667	4.34950666666667
FBpp0203020	9.47508333333333	10.0072	7.81740333333333	2.242057348
FBpp0203021	38.7353	37.3138	65.2827	70.0088333333333
FBpp0203022	8.30239333333333	10.8570366666667	15.0318333333333	15.0874333333333
FBpp0203023	87.5148666666667	320.51	137.984333333333	110.3845
FBpp0203024	0.0	0.0	0.539432	0.269746033333333
FBpp0203025	0.0	0.0	0.446558333333333	0.223343
FBpp0203026	0.1551217	0.185785	3.0601	2.68985333333333
FBpp0203027	8.00293333333333	9.21008	33.7323666666667	34.7206666666667
FBpp0203028	10.9623066666667	9.77186	46.4436333333333	33.2093666666667
FBpp0203029	5.63883333333333	7.05824666666667	18.6296	18.6598333333333
FBpp0203030	330.315	603.768333333333	145.215666666667	165.488333333333
FBpp0203031	5.13043333333333	5.28412666666667	17.8173	16.6933
FBpp0203032	0.0	0.0731783333333333	0.0	0.0
FBpp0203033	1.88907	1.59007333333333	1.0981	1.26062666666667
FBpp0203034	13.2357666666667	15.5741333333333	19.1152666666667	21.1397
FBpp0203035	202.715333333333	209.905666666667	338.103333333333	316.244
FBpp0203036	0.0631010666666667	0.204873833333333	2.32390333333333	3.41953666666667
FBpp0203037	14.0177166666667	13.70599	80.4887666666667	71.6638333333333
FBpp0203038	8.80782	9.83562666666667	27.9497666666667	29.0874666666667
FBpp0203039	0.264762	0.0	0.620359	0.387708666666667
FBpp0203040	17.9715666666667	18.8561666666667	35.4653	37.3899
FBpp0203041	0.0319553333333333	0.0051567333333333	2.39105	2.72086666666667
FBpp0203042	0.0	0.059115	2.09711333333333	1.269948
FBpp0203043	34.4401	27.2615033333333	27.7875133333333	2.06696933333333
FBpp0203044	104.629266666667	17.2659	16.0470033333333	37.3220833333333
FBpp0203045	17.8941	25.3522333333333	17.9823	16.6465
FBpp0203046	65.8690666666667	48.7152	65.7980333333333	60.1665666666667
FBpp0203047	29.2197	30.2972333333333	52.9961	52.2780333333333
FBpp0203048	0.0700456666666667	0.266169	1.45012666666667	2.35410666666667
FBpp0203049	53.0332333333333	52.5475666666667	123.998333333333	121.806
FBpp0203050	397.581666666667	150.2137	163.682766666667	75.5811666666667
FBpp0203051	17.9244333333333	22.9795666666667	16.2182666666667	14.6358666666667
FBpp0203052	4.80981	5.17959666666667	9.09151	10.97121
FBpp0203053	2.87108	2.92557	9.67710333333333	8.93386666666667
FBpp0203054	1.712911	1.77894666666667	17.3030333333333	20.0133333333333
FBpp0203055	16.5856533333333	10.4766833333333	14.13848	6.71514333333333
FBpp0203056	4.22774333333333	4.73581333333333	3.07428333333333	1.94743333333333
FBpp0203057	0.209204333333333	0.218614	0.129853666666667	0.203856
FBpp0203058	0.1049737	0.0999855333333333	0.217301233333333	0.124639566666667
FBpp0203059	0.691772	0.273869666666667	6.53221333333333	5.59933666666667
FBpp0203060	7.12981333333333	8.67864666666667	11.6629333333333	12.7029333333333
FBpp0203061	5.58056	7.28063666666667	17.7083	18.5021333333333
FBpp0203062	0.459431666666667	0.281995	0.355636666666667	0.435932
FBpp0203063	9.80398333333333	11.4121666666667	38.4539	37.4335
FBpp0203064	24.4007	32.7427333333333	54.8299666666667	51.7728666666667
FBpp0203065	2.16026666666667	2.87561333333333	15.1809333333333	13.6699666666667
FBpp0203066	0.0	0.0	0.0	0.0
FBpp0203067	4.91404666666667	5.03306666666667	25.4494333333333	24.5460333333333
FBpp0203068	5.78038333333333	6.15325333333333	9.94453333333333	9.5639
FBpp0203069	1.47317333333333	0.755479	5.78288333333333	4.59362666666667
FBpp0203070	19.1809	20.0887666666667	31.3775	33.0950333333333
FBpp0203071	2.19461333333333	2.69704	0.99751	1.20587666666667
FBpp0203072	0.225777666666667	0.252433	0.486079666666667	0.511515666666667
FBpp0203073	0.230085	0.368067333333333	1.042695	1.198206
FBpp0203074	6.35574	7.62908333333333	13.3995666666667	13.1525333333333
FBpp0203075	5.09384333333333	6.48862666666667	15.056	15.9181666666667
FBpp0203076	2.039638	3.51813666666667	19.7737	13.0965733333333
FBpp0203077	25.8568	35.3379	157.558333333333	131.005666666667
FBpp0203078	0.845475	1.91435666666667	12.2202533333333	3.30031666666667
FBpp0203079	15.9317333333333	17.3956666666667	30.1904666666667	32.2152666666667
FBpp0203080	56.6767666666667	61.3925	96.8085666666667	89.5931666666667
FBpp0203081	0.0088357	0.0	0.228034333333333	0.233820333333333
FBpp0203082	0.0086883333333333	0.0379684	0.0968131333333333	0.1192998
