GeneID	Adipose_rep1	Adipose_rep2	Adipose_rep3	Adipose_rep4	Adipose_rep5	Adipose_rep6
NP_033102.2	1138.81	1364.44	1275.93	953.541	886.371	925.001
NP_033103.2	793.819	919.985	924.934	742.361	682.325	707.898
NP_033104.2	1136.16	1212.58	1265.26	970.777	1020.01	1059.75
NP_033106.1	1361.31	1564.46	1441.75	1122.58	1192.21	1247.28
NP_033107.1	1468.19	1547.4	1643.57	1267.02	1343.59	1548.34
NP_033108.1	79.7014	108.939	93.2551	87.7148	83.3317	64.3084
NP_033109.1	23.9392	31.4792	33.1736	26.8344	25.1936	17.4528
NP_033110.1	942.729	858.013	885.752	684.83	749.598	727.073
NP_033111.2	34.0571	37.1632	41.1638	29.8391	29.0076	34.4664
NP_033112.2	7.87374	9.1535	9.03373	6.32198	6.379	6.88307
NP_033113.1	86.856	111.828	143.466	109.756	111.891	98.9709
NP_033114.3	6.60481	5.92154	9.45407	6.92913	4.004	6.51283
NP_033116.2	55.0607	55.9637	55.9193	52.2814	52.7287	54.4225
NP_033117.1	1513.98	1699.17	1554.6	1322.17	1258.35	1200.2
NP_033118.1	1276.41	1366.19	1310.06	1047.85	967.424	998.576
NP_033119.1	2529.66	2345.3	2365.46	1859.99	1949.33	1226.68
NP_033121.2	811.838	833.485	855.214	608.374	668.374	763.477
NP_033122.1	34.2097	42.8967	38.8132	33.0364	33.6661	35.4709
NP_033124.1	1039.82	1095.59	1148.71	821.613	826.291	815.446
NP_033125.2	5.27979	7.66917	7.21933	0.450936	1.26581	4.74097
NP_033126.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_033127.1	356.767	291.27	311.902	338.367	343.852	384.173
NP_033129.2	10.6324	11.0315	12.5689	11.3046	10.9213	11.1463
NP_033130.1	3.13336	2.85453	5.58811	6.26221	4.33854	4.23578
NP_033131.2	155.278	157.545	181.949	157.16	168.288	183.562
NP_033133.1	0.325746	0.234264	0.105435	0.201055	0.0	0.110179
NP_033138.1	798.463	914.214	919.97	956.439	985.603	999.726
NP_033139.3	11.7928	10.9946	10.4167	11.8406	13.7258	7.42485
NP_033140.1	0.481233	0.0	0.0	0.0	0.801883	1.22937
NP_033141.1	5.65453	6.21744	6.6533	3.16736	3.6452	1.49088
NP_033143.1	2.19814	0.385561	0.0	0.0	0.0	0.0
NP_033144.1	0.273109	0.338969	0.100517	0.236816	0.11918	0.265766
NP_033145.2	12.7733	12.2345	12.2638	12.5713	14.4306	13.5289
NP_033146.1	158.858	150.277	174.297	149.412	158.617	172.817
NP_033149.1	0.0694487	0.0265323	0.0883281	0.159429	0.100337	0.0205981
NP_033152.3	0.0	0.0	0.0	0.0	0.0	0.0
NP_033153.2	5610.19	7307.2	5156.96	8039.47	5738.47	5626.91
NP_033154.2	53.7881	344.335	217.737	165.494	132.766	90.7778
NP_033155.1	0.0	0.140158	0.0475652	0.0	0.0	0.302407
NP_033156.1	1.32797	2.13943	1.40069	2.73492	4.3069	4.21214
NP_033157.1	6.36066	7.84748	12.429	4.16357	6.52412	8.35816
NP_033159.1	1.14993	1.24608	1.53318	0.65505	0.437465	0.54463
NP_033161.2	45.2558	41.6382	43.726	47.3731	45.4385	61.5329
NP_033162.1	0.101513	0.171339	0.297586	0.212163	0.065432	0.4385
NP_033163.1	1.94652	0.975199	0.865772	1.70388	1.41311	1.8372
NP_033165.1	209.76	210.38	289.544	247.793	310.57	340.648
NP_033166.1	0.4524	0.478025	0.35464	0.543149	0.265944	0.546557
NP_033167.2	0.132608	0.0	0.0421376	0.0	0.0	0.0754554
NP_033168.2	4.77973	2.99972	2.91016	3.246	3.30481	2.13957
NP_033170.1	37.4737	34.8285	23.4077	15.2687	25.5705	24.0176
NP_033172.2	4.3961	5.76489	5.72924	4.33425	5.64512	4.70917
NP_033173.2	27.5401	31.2108	32.4926	27.6168	32.1783	30.4754
NP_033174.2	20.7978	22.6096	23.4748	18.7341	21.2178	19.5399
NP_033176.2	295.725	185.856	208.615	247.68	253.071	273.776
NP_033177.3	5.33408	4.83093	4.40074	6.62188	5.26815	6.53713
NP_033178.2	0.382811	0.29531	0.309049	0.0908116	0.100143	0.246653
NP_033179.2	0.427925	0.307473	0.290775	0.0	0.406252	0.1688
NP_033180.2	0.00397974	0.764551	1.3783	1.11972	0.6639	1.84131
NP_033181.3	1640.86	1532.42	1155.2	1331.8	1761.99	1663.84
NP_033182.1	845.823	920.032	836.938	1054.85	1020.41	974.518
NP_033186.1	2.28793	0.0408301	2.74161	0.0	0.102857	0.235804
NP_033187.1	0.460347	0.469273	0.362435	0.0854249	0.148639	0.131467
NP_033188.3	0.334896	0.184123	0.453644	0.14959	0.0	0.551661
NP_033189.2	26.4354	20.5462	15.2231	29.647	18.4788	22.3807
