GeneID	Colon_rep1	Colon_rep2	Colon_rep3	Colon_rep4	Colon_rep5	Colon_rep6
NP_032575.2	21.1881	30.741	29.6225	28.1433	25.3853	28.9425
NP_032576.2	17.0307	20.8311	25.8285	23.0401	35.078	24.8126
NP_032577.1	50.8306	57.6126	65.3178	67.6943	77.3575	64.7758
NP_032578.2	0.0	0.0	2.87012e-10	0.0	0.0	0.0
NP_032579.2	0.293148	0.572216	0.373144	0.596014	0.33308	0.498058
NP_032580.2	2.26089	2.56569	3.45777	3.89068	9.93128	4.39686
NP_032583.1	213.816	274.186	286.2	250.768	354.508	245.293
NP_032584.2	20.7554	38.1674	13.2516	22.0502	16.2286	21.181
NP_032585.2	0.0626861	0.219399	0.157098	0.0647264	0.0252438	0.176323
NP_032586.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_032587.1	0.0583935	0.0	0.146763	0.0649056	0.0992994	0.0
NP_032588.1	233.423	248.499	193.84	286.355	151.495	190.489
NP_032589.1	11.4004	14.2442	8.85002	14.9245	12.537	19.8433
NP_032590.2	14.5191	16.0485	15.1386	18.7295	16.8122	20.3342
NP_032591.3	12.1447	15.573	14.7567	16.1931	13.8592	15.2105
NP_032592.2	4.31057	2.95112	0.60214	3.1147	3.3705	2.41221
NP_032593.1	31.8853	34.049	31.836	35.5201	31.3982	37.8101
NP_032594.1	29.7418	27.0295	31.6508	32.7628	31.3935	37.1933
NP_032595.2	4.94159	8.72391	10.0436	11.3042	3.75714	6.81822
NP_032596.1	0.713078	1.5052	0.314885	1.32745	0.664366	1.01357
NP_032597.1	0.433593	0.842114	0.14591	0.287075	0.165922	0.469942
NP_032598.1	0.175093	0.0681282	0.117896	0.174033	0.0	0.190201
NP_032600.3	0.0	0.0	0.0	0.0	0.0	0.0
NP_032602.1	11.8385	12.6731	13.6867	12.3338	9.5809	16.2668
NP_032605.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_032606.4	12.3193	16.8785	15.1643	16.2036	10.6599	15.568
NP_032610.1	0.917347	0.778528	0.775886	1.43609	0.986763	0.978486
NP_032611.2	271.78	315.244	366.733	310.192	318.311	306.02
NP_032612.2	119.048	125.551	152.159	126.115	91.2685	144.024
NP_032614.2	0.0408716	0.0475701	0.0824896	0.0	0.0468124	0.13268
NP_032615.2	0.406226	0.236334	0.302593	0.453116	0.140103	0.231991
NP_032617.2	1.42169	1.26839	4.77575	7.17376	4.25191e-07	1.96194
NP_032618.2	0.184688	0.192447	0.186046	0.205699	0.324631	0.148845
NP_032619.1	32.0192	40.7726	38.4525	49.3034	54.8136	28.8839
NP_032620.2	17.2924	21.2233	23.0865	23.5048	29.0766	24.2254
NP_032621.1	1.01937	1.30762	0.796437	2.38985	1.87849	1.56665
NP_032622.1	0.622442	1.2149	0.952261	0.410894	1.24268	0.687782
NP_032623.1	190.147	133.973	211.776	120.151	242.733	163.541
NP_032625.2	0.57716	1.05477	0.712067	0.726578	6.77822	3.11902
NP_032626.2	0.0	0.0	0.0	0.0	0.0869427	0.0
NP_032630.2	0.276662	0.145662	0.164862	0.1684	0.299822	0.182549
NP_032631.3	0.107515	0.0	0.0379931	0.0280939	0.0853184	0.121424
NP_032632.1	4.71277	5.57946	6.16688	5.70141	6.92531	4.70464
NP_032633.1	1.82399	3.40151	2.49842	3.97996	2.8162	3.93199
NP_032634.3	49.3123	64.2055	63.5125	72.8299	57.1066	65.2111
NP_032635.1	41.6432	56.7124	64.5905	61.3351	90.4955	58.2286
NP_032637.3	0.0	0.0	0.0316189	0.0466196	0.0	0.0759701
NP_032638.2	3.32014	5.1968	4.44922	4.34005	3.48374	4.73443
NP_032641.2	13.1329	16.6326	18.5521	16.6082	19.0626	9.7752
NP_032642.2	1.7963	2.06517	1.69042	0.576107	1.1262	1.55923
NP_032643.2	404.699	464.302	475.007	430.938	436.876	438.755
NP_032645.2	5.67172	8.34667	8.86821	6.11879	7.76277	5.7344
NP_032647.1	23.3183	27.7815	38.4686	34.8705	26.648	31.6771
NP_032650.1	2.71145	4.2016	2.82412	3.42762	3.70031	2.25601
NP_032651.2	7.40647	8.39839	8.98208	10.9764	7.71387	9.55202
NP_032654.1	14.5832	17.4298	19.5987	20.9546	17.3287	19.1714
NP_032655.1	0.113257	0.701497	1.47303	0.963812	0.445051	0.0
NP_032656.1	139.658	101.697	101.569	162.108	129.457	77.4334
NP_032657.1	0.0	0.299786	0.0	0.374558	0.0	0.838958
NP_032660.2	1.65209	6.51186	6.65723	4.50432	5.0539	2.32677
NP_032662.3	5.71917	7.34757	6.68748	9.25156	4.76309	9.02062
NP_032663.1	17.5994	13.201	19.8569	19.4538	16.8693	18.9466
NP_032665.1	0.025516	0.0296221	0.102908	0.0379415	0.0	0.0412756
NP_032666.3	404.374	525.592	508.38	478.529	535.121	505.673
NP_032670.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_032674.1	0.0	0.0	0.0557325	0.0	8.55797e-09	0.0
NP_032675.2	0.0562447	12.3968	0.0	0.0	0.128463	0.0
NP_032676.2	31.1749	40.569	40.7068	40.8942	35.5094	39.1194
NP_032677.2	0.286405	0.166857	0.125361	0.30827	0.0	0.110837
NP_032680.1	11.9286	14.9367	18.1896	14.6846	16.3896	15.2358
NP_032681.1	13.1947	16.443	21.3544	24.9548	22.2739	22.0168
NP_032682.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_032683.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_032693.2	11.3371	15.8211	13.6154	15.9232	12.8383	14.9717
NP_032694.2	3.61219	5.28674	5.54489	6.65663	7.59161	6.8365
NP_032695.3	115.787	124.878	152.885	155.182	152.839	156.023
NP_032696.2	26.9936	36.2813	46.152	55.9329	8.48212	51.7743
NP_032697.2	0.217169	0.773075	0.500212	0.414854	0.652147	0.325491
NP_032699.1	0.184338	0.214196	0.132845	0.156793	0.24019	0.127819
NP_032700.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_032703.2	0.0	1.86019	0.407155	0.801478	0.21557	0.895616
NP_032705.2	5.73519	8.40529	8.64242	9.57761	6.01656	8.40314
NP_032707.2	91.0883	118.534	143.741	155.422	129.279	132.458
NP_032709.1	261.829	253.771	241.344	254.246	289.678	294.413
NP_032710.2	0.0	0.0	7.12732e-07	6.27564e-05	0.0	0.0223662
NP_032711.2	0.0	0.0	0.0	0.222282	0.0	0.0
NP_032712.2	21.2499	45.481	46.15	39.6784	29.5577	44.0518
NP_032714.1	9.70243	14.593	16.2728	17.2945	24.8374	17.9807
NP_032715.2	28.9731	38.9537	40.7506	35.322	34.995	40.8747
NP_032717.2	1.87214	2.97066	3.29906	2.95149	2.67338	2.29308
NP_032719.1	2.94473	0.237029	0.725847	1.18574	0.612417	0.0886327
NP_032720.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_032721.2	3.92792	4.48916	5.26022	6.24581	5.48555	5.46883
NP_032725.1	9.43191	13.475	14.6326	14.1252	20.1038	12.1098
NP_032726.1	0.0	0.0	0.0	0.0	0.0	0.0
