GeneID	Lung_rep1	Lung_rep2	Lung_rep3	Lung_rep4	Lung_rep5	Lung_rep6
XP_011240618.1	2.28466	2.03322	2.29489	2.29174	2.23305	1.81406
XP_011240619.1	0.982511	0.895519	0.643068	1.19966	2.27255	0.675447
XP_011240630.1	0.0	0.0	2.76464e-05	0.0	0.0	0.0
XP_011240634.1	2.36164	1.63379	2.12178	2.17024	2.16524	1.20623
XP_011240644.1	4.01675	1.84552	3.12307	3.84879	4.27099	2.17136
XP_011240650.2	0.0	0.0	0.0	0.0	0.0	0.0
XP_011240675.1	0.0	0.0	2.61985e-09	1.91904e-05	0.0	0.0325844
XP_011240678.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011240687.1	4.70154e-09	1.35533e-10	0.321932	4.71297e-10	0.238052	1.08819e-09
XP_011240690.2	14.8264	24.2748	9.72969	14.0915	23.6049	5.89844
XP_011240705.1	0.0	0.0	1.47626e-08	0.0	0.0	0.0
XP_011240739.1	0.0402727	0.0472111	0.0497513	0.0643741	0.132868	0.00896933
XP_011240777.1	9.36859e-11	0.0	0.0	0.0	2.88118e-07	0.0
XP_011240788.1	0.88793	0.513698	0.809586	0.727584	0.815423	0.124704
XP_011240798.1	10.9836	10.9549	10.4978	11.6616	10.5102	9.50291
XP_011240845.1	0.0	0.0	1.54517e-07	0.104259	0.0	0.0
XP_011240868.1	1.83006	1.45219	3.35433	2.33547	1.5166	1.09882
XP_011240895.1	0.0	2.18119e-06	2.32304e-05	0.000147379	3.74111e-07	6.02977e-06
XP_011240897.1	0.816334	0.554931	1.10455	0.49577	0.977352	0.544542
XP_011240901.1	0.0	0.0	0.102632	0.0956432	0.0	0.0
XP_011240927.1	0.0	8.18459e-06	0.0	0.0	0.0	0.00796167
XP_011240936.1	5.26762e-07	2.64537e-07	3.41921e-08	2.74712e-08	0.0	4.22125e-08
XP_011240976.2	7.63237e-08	2.46792e-08	3.87631e-09	0.0	0.0	2.17071e-09
XP_011241021.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241034.1	3.79999e-09	1.67651e-09	0.0	0.00165036	0.00202551	0.063948
XP_011241116.1	14.7743	19.0299	19.5123	14.5776	13.7559	17.0745
XP_011241122.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241171.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241203.1	1.15754	3.29735	0.0	0.0	1.1723	2.61599
XP_011241243.1	0.553446	0.566922	0.516146	0.173364	0.701081	0.256888
XP_011241302.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241382.1	0.0	5.11051e-05	3.39555e-09	0.0	0.0	0.0
XP_011241405.1	3.20574	2.24747	2.93687	4.00712	3.14227	1.1328
XP_011241407.1	10.0899	10.4118	11.3516	12.4483	10.3627	8.66497
XP_011241422.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241449.1	0.0	0.0928455	0.0	0.0	0.0	0.0
XP_011241455.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241482.1	0.0	0.0	0.0647357	0.103455	0.0	0.0
XP_011241505.1	1.26498e-06	1.87713e-09	0.0	0.0	0.0188453	0.393077
XP_011241528.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241553.1	0.131367	0.123757	0.168095	0.150728	0.127399	0.110077
XP_011241580.1	0.363799	0.524758	0.00713233	0.211398	5.52407e-09	0.536509
XP_011241590.1	0.000367749	7.91399e-08	2.653	1.14746	2.19407	1.52206
XP_011241624.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241675.1	4.72877	5.29297	6.14332	6.60572	4.93506	5.66901
XP_011241696.1	0.346236	0.174574	0.0	0.879142	1.64415e-09	0.140598
XP_011241713.1	1.01011e-05	0.334912	0.386036	0.0441445	0.0	0.240113
XP_011241731.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241801.1	0.0	0.0173032	0.0	0.0	0.0	0.0
XP_011241812.1	0.873889	0.441862	0.99104	2.02302	0.530519	0.36152
XP_011241828.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241832.1	0.0	0.0471444	0.0	0.0	0.0	0.0
XP_011241835.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241859.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241889.1	0.0	0.0	0.00617606	0.0	0.0	0.114394
XP_011241894.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_011241923.1	1.05374	0.783809	3.34409e-07	0.0	0.809747	0.0
XP_011241936.1	1.50529e-09	0.0	0.0	0.0	0.0	0.0
XP_011241947.1	0.000220922	0.0	1.05251	0.273603	0.270907	0.256037
