GeneID	Skin_rep1	Skin_rep2	Skin_rep3	Skin_rep4	Skin_rep5	Skin_rep6
NP_035249.1	100.929	111.228	105.904	107.493	103.89	103.749
NP_035250.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035251.3	4.52951	6.52649	5.07509	4.49433	6.05738	4.1498
NP_035252.1	51.8089	49.5506	43.3087	59.1005	37.3084	63.0901
NP_035253.1	4.4076	5.33915	3.51123	5.70297	4.48588	6.65527
NP_035254.1	365.067	429.961	467.384	617.118	408.212	428.254
NP_035255.1	516.652	97.9758	217.197	137.436	351.194	123.892
NP_035256.2	0.0	0.0	0.0	0.0	0.0	0.115152
NP_035257.1	32.5706	26.6699	30.2519	24.4206	21.9163	23.2201
NP_035258.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_035260.1	96.5095	128.506	99.1327	109.103	104.513	95.0576
NP_035261.3	9.39694	9.35047	11.0798	9.75091	10.3135	9.83199
NP_035262.2	2.03707	1.87457	1.91668	2.68195	2.31937	2.14888
NP_035263.1	5.02252	8.87601	9.16333	9.43944	5.90851	8.07156
NP_035264.2	34.5444	14.2658	12.4025	12.2255	36.7258	11.3313
NP_035266.1	0.064198	0.100695	0.145781	0.118241	0.139362	0.040718
NP_035267.2	0.000181378	0.0	1.60274e-10	2.65532e-07	4.91519e-10	1.07995e-09
NP_035269.2	57.271	91.6368	81.5644	71.0025	78.1591	59.4624
NP_035271.1	24.3736	44.3431	49.136	34.3996	50.9973	34.761
NP_035273.3	0.0614784	0.15818	0.125364	0.184142	0.274172	0.123553
NP_035274.2	1.60649	0.399012	2.05087	1.4516	0.623608	1.85378
NP_035275.1	7.99384	13.9614	7.52205	13.9339	4.49814	13.1634
NP_035276.2	5.4317	1.78449	7.38041	4.02869	3.20148	3.62079
NP_035279.2	389.156	359.341	411.913	408.945	380.669	366.195
NP_035283.1	0.0247714	0.0460585	0.0280723	0.0364644	0.03674	0.0
NP_035285.2	44.5002	39.9134	37.199	39.6356	16.3337	45.1086
NP_035286.1	8.48776	7.81591	8.22881	6.93697	5.71243	7.19217
NP_035288.2	22.6973	9.562	13.1063	12.0999	10.9201	10.7221
NP_035289.2	3.05937	3.11255	3.03292	3.17687	2.44206	2.85723
NP_035290.1	1.24732	2.40018	3.38765	3.14167	1.38189	2.8772
NP_035291.4	12.4055	11.5374	13.6898	10.6739	13.2221	8.10599
NP_035292.2	8.02362	9.61769	10.1204	8.7886	10.782	9.50522
NP_035294.2	0.0	0.0	0.000847262	241.463	17.7905	87.6472
NP_035295.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035296.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035298.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035299.4	1.0744	1.25204	0.698805	1.86945	0.0322582	0.932754
NP_035300.1	229.883	234.934	256.4	248.432	216.175	216.949
NP_035302.2	24.3736	22.404	20.1895	22.1016	28.431	19.716
NP_035303.1	87.8235	49.2304	48.7742	51.4801	40.3929	36.1726
NP_035304.4	0.0	0.0	0.0	0.0	0.0	0.0
NP_035305.1	269.039	87.2398	159.5	99.0023	137.018	114.568
NP_035307.2	11.6364	20.5544	16.3611	14.5518	15.8343	8.87121
NP_035308.2	3.75969	1.17844	5.64748	1.99187	3.29727	1.94087
NP_035309.3	118.229	115.824	112.59	89.3861	120.558	87.5957
NP_035311.1	16.4951	17.2352	15.3078	14.7402	14.6565	14.8444
NP_035312.3	41.8014	28.4377	34.6305	34.6897	35.0258	26.6827
NP_035313.2	0.0	0.707035	0.453211	0.0	1.26489	0.0
NP_035314.3	67.7609	55.2936	63.0025	64.6712	45.8307	52.6168
NP_035315.1	235.991	245.5	237.903	244.794	241.012	233.243
NP_035316.1	157.84	188.95	174.731	187.964	166.323	181.643
NP_035317.1	223.846	234.914	233.272	248.581	233.342	257.886
NP_035318.2	0.108497	0.48469	0.370851	1.12119	0.315216	0.40491
NP_035319.1	188.593	195.113	216.284	221.694	230.666	185.276
NP_035320.1	198.171	206.446	208.382	239.963	173.844	191.595
NP_035325.2	0.1939	0.277077	0.280526	0.422853	0.334965	0.669554
NP_035327.2	46.0546	56.6327	47.3885	48.2365	31.2745	39.6235
NP_035328.2	2.58983	1.41165	1.19227	1.5594	0.714475	0.608554
NP_035330.1	35.5167	31.4811	33.9172	30.293	27.3231	25.2963
NP_035331.3	37.0348	29.2935	35.81	29.4367	38.6414	22.7381
NP_035332.1	19.3805	18.9504	17.5046	17.6127	11.2825	14.1192
NP_035334.2	35.9589	45.5572	39.7163	45.6209	35.3686	35.4085
NP_035336.2	3.3807	1.26367e-06	0.0	0.519765	0.0	0.264575
NP_035345.2	0.29106	0.132657	0.198338	0.216103	0.233426	0.634484
NP_035347.1	0.0	0.0344039	0.0	0.113691	0.055936	0.0
NP_035348.2	24.6693	32.0099	23.9468	29.9833	22.6022	22.6728
NP_035351.1	42.1031	43.0178	38.5294	39.0579	36.3348	30.211
NP_035354.1	651.201	653.273	705.051	476.003	540.52	796.668
NP_035356.1	2.746	1.46747	2.73507	1.70616	2.58887	0.917627
NP_035357.1	5.41307	4.2	5.28251	4.49169	5.93561	4.33297
NP_035361.2	0.0	1.50364e-09	0.218572	0.195436	0.0	0.0
NP_035362.2	8.22312	15.2705	11.7287	14.5996	6.29201	9.07478
NP_035363.2	0.0	2.0204	1.75913	0.370408	0.921583	1.17032
NP_035364.1	2.61464	4.34123	3.49662	4.2265	3.78076	4.5338
NP_035367.1	13.4249	11.9464	15.0926	16.0131	15.6375	13.3751
NP_035369.2	122.071	112.431	146.211	134.457	120.968	129.066
NP_035370.2	24.7342	26.6366	22.8172	25.0781	18.2826	20.1484
NP_035372.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_035374.3	55.6108	77.6127	81.093	65.9039	67.4793	69.4278
NP_035375.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035376.1	20.5866	26.1491	19.3733	19.9592	21.7239	16.4494
NP_035379.2	3.68379	5.43123	5.63076	5.67571	3.96708	5.15137
NP_035380.3	31.5245	31.7203	29.2231	27.5353	25.5277	23.6346
NP_035381.2	15.2641	15.332	14.9095	14.2746	9.04085	13.2367
NP_035382.1	2.23513	5.61206	8.33662	10.0258	7.38835	8.04569
NP_035383.2	0.0	0.0	0.0	0.148403	0.0	0.0
NP_035384.1	5.97382	7.12931	5.16293	6.12926	8.17496	4.77921
NP_035389.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035390.1	0.49426	0.191916	0.0	0.0	0.0	0.0
NP_035391.2	0.496032	0.0656311	0.298239	0.121607	0.214572	0.0
NP_035393.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_035396.1	7.21836	3.44031	4.90667	4.68658	6.06641	5.35728
NP_035397.2	1.73242	1.60134	4.41895	3.81498	1.39516	2.2252
NP_035398.2	0.659266	0.531263	0.49765	0.472455	0.516597	0.132222
NP_035399.1	0.00966878	0.281675	0.105584	0.251705	0.0506863	0.0511391
NP_035400.3	0.181653	0.435386	1.88481	0.400805	0.17468	0.234525
NP_035401.2	8.03483	12.7529	10.6486	17.566	12.585	12.0647
NP_035402.2	0.0	0.078063	0.288235	0.125494	0.0	0.0
