GeneID	Thyroid_rep1	Thyroid_rep2	Thyroid_rep3	Thyroid_rep4	Thyroid_rep5	Thyroid_rep6
XP_038403995.1	1.89812	2.43391	1.87489	1.52712	1.89628	
XP_038404005.1	8.71536	9.34169	8.91836	6.77063	9.60983	
XP_038404007.1	2.31381	1.19581	2.05923	1.98997	6.23686	
XP_038404012.1	70.1226	81.0117	68.9763	67.5729	60.4072	
XP_038404013.1	0.0	0.0720266	0.0	0.0	0.0	
XP_038404014.1	14.5388	17.5163	11.8592	8.84508	23.3558	
XP_038404015.1	0.181522	0.121991	0.158794	0.198605	0.226575	
XP_038404017.1	4.6955	4.22842	1.69495	2.41377	3.13948	
XP_038404018.1	6.47322	5.99999	5.52125	3.65271	5.55671	
XP_038404019.1	51.9047	60.3903	66.9206	66.3675	48.44	
XP_038404023.1	10.7101	10.6093	9.95935	11.3155	10.2547	
XP_038404024.1	0.170227	0.117949	0.0995588	0.371621	0.300413	
XP_038404025.1	0.0	0.0	0.0	0.0	0.0	
XP_038404027.1	0.14812	0.0	0.0	0.0	0.0	
XP_038404031.1	7.92813	7.69614	10.9553	8.28716	6.45001	
XP_038404033.1	37.6248	50.2523	47.1269	43.8283	39.782	
XP_038404037.1	0.625178	0.543324	0.26476	0.647278	0.565042	
XP_038404039.1	17.0459	23.1345	32.3359	25.4704	11.2851	
XP_038404045.1	5.98251e-10	0.0	0.0	0.0	0.0	
XP_038404056.1	0.0	0.29387	0.630042	0.477949	3.50534e-07	
XP_038404061.1	34.3202	25.3811	31.9373	27.6973	27.7319	
XP_038404062.1	15.8404	11.4928	13.9862	14.5478	12.4376	
XP_038404067.1	36.0266	35.4754	35.5879	31.4345	35.2239	
XP_038404069.1	90.0129	75.309	78.3537	108.992	78.4109	
XP_038404072.1	0.73127	1.37564	1.14364	1.51027	0.710801	
XP_038404076.1	42.6336	43.2698	47.3477	44.2817	37.2638	
XP_038404077.1	0.170215	0.0	0.0	0.0	0.0	
XP_038404082.1	17.1912	18.7912	21.0778	17.3314	16.7088	
XP_038404083.1	2.3718	0.972192	1.18025	2.10121	2.91282	
XP_038404093.1	8.62414	7.42292	8.41662	11.5246	7.33704	
XP_038404095.1	0.0	8.91025e-10	0.826364	0.000409788	0.0	
