row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
304,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,63,64,67","1","14,47,51",""
305,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,54,58,63,64,67","1","14,48,54,64",""
306,"30,60,61,63","1","60,61",""
307,"4,5,7,8,9,14,15,19,23,32,35,42,45,47,48,52,53,58,64,67","1","42","42"
308,"4,5,7,9,11,13,14,15,17,19,23,25,32,33,35,43,45,47,48,52,53,58,64,67","1","25,43","43"
309,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","15,19",""
310,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","45,62",""
311,"4,5,7,9,14,15,16,19,22,23,32,35,45,47,48,49,52,53,58,64,67","1","16,22,49",""
312,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","10,50,66",""
313,"17,23,32,33,45,58","1","17,55",""
314,"30,60,61,63","1","34,60,61",""
315,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,61,63,64,67","1","21,44","44"
316,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,54,58,63,64,67","1","14,48,54,64",""
317,"4,5,7,9,14,15,16,19,23,32,35,45,47,48,52,53,58,64,67","1","4,16,52",""
318,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","9,62",""
319,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","11",""
320,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","45","45"
321,"4,5,7,9,14,15,19,23,32,35,45,46,47,48,52,53,58,64,67","1","20,46","46"
322,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,63,64,67","1","19,48,51",""
323,"4,5,7,9,14,15,19,21,23,30,32,35,42,45,47,48,52,53,58,63,64,67","1","14,47,64",""
324,"4,5,7,9,11,13,14,15,17,18,19,23,25,32,33,35,43,45,47,48,52,53,58,64,67","1","18,25,43,53",""
325,"30,60,61,63","1","34,60,63",""
326,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,54,58,63,64,67","1","54,64",""
327,"4,5,7,8,9,14,15,19,23,30,32,35,42,45,47,48,52,53,58,64,67","1","8,42,47",""
328,"4,5,7,8,9,14,15,19,21,23,30,32,35,42,45,47,48,52,53,58,63,64,67","1","14,47","47"
329,"4,5,7,9,14,15,16,19,22,23,32,35,45,47,48,49,52,53,58,64,67","1","4,16,22,49",""
330,"4,5,7,9,11,13,14,15,17,19,23,25,32,33,35,45,47,48,52,53,58,64,67","1","25,53",""
331,"4,5,7,9,11,13,14,15,17,18,19,23,32,33,35,43,45,47,48,52,53,58,64,67","1","18,43",""
332,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","19,51",""
333,"17,23,32,33,45,58","1","33,55",""
334,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","1,11,12",""
335,"5,7,9,17,19,23,32,33,35,45,47,58,67","1","10,17",""
336,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","10",""
337,"7,14,21,23,30,32,45,58,60,61,63","1","21,58",""
338,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,54,58,63,64,67","1","14,48,51,54","48"
339,"4,5,7,9,14,15,19,22,23,32,35,45,47,48,49,52,53,58,64,67","1","22,49","49"
340,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","59",""
341,"4,5,7,9,14,15,19,23,24,26,32,35,45,47,48,52,53,57,58,64,67","1","24,26,57",""
342,"3,4,5,6,7,9,14,15,19,22,23,32,35,36,42,45,47,48,52,53,58,64,67","1","3,6,22,36",""
343,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","9,28",""
344,"4,5,7,9,14,15,16,19,23,32,35,45,47,48,52,53,57,58,64,67","1","16,52,57",""
345,"4,5,7,9,11,14,15,17,19,23,31,32,35,45,47,48,52,53,57,58,64,67","1","31,52,57",""
346,"4,5,7,9,14,15,19,23,32,35,45,47,48,52,58,64,67","1","20",""
347,"4,5,7,9,14,15,19,23,32,35,41,45,47,48,52,53,58,64,67","1","20,41",""
348,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","10,50,66",""
349,"4,5,7,9,11,13,14,15,17,19,23,32,35,45,47,48,52,53,58,64,67","1","13,35",""
350,"4,5,7,8,9,14,15,19,23,30,32,35,40,42,45,47,48,52,53,58,64,65,67","1","8,40,65",""
351,"3,4,5,6,7,9,14,15,19,23,32,35,36,42,45,47,48,52,53,58,64,67","1","3,6,36",""
352,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,61,63,64,67","1","21,44",""
353,"4,5,7,8,9,14,15,19,23,27,30,32,35,38,42,45,47,48,52,53,58,63,64,67","1","27,38,47",""
354,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","9,28",""
355,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","50","50"
356,"5,7,9,14,15,19,21,23,30,32,35,45,47,48,58,63,67","1","51","51"
357,"17,23,32,33,45,58","1","33,55",""
358,"4,5,7,8,9,14,15,19,23,30,32,35,42,45,47,48,52,53,58,64,67","1","8,42",""
359,"21,30,60,61,63","1","37,63",""
360,"4,5,7,8,9,14,15,19,23,32,35,42,45,47,48,52,53,58,64,67,68","1","42,68",""
361,"4,5,7,9,14,15,16,19,23,32,35,45,47,48,52,53,56,58,64,67","1","4,16,52,56",""
362,"4,5,7,9,14,15,19,23,32,35,40,41,42,45,47,48,52,53,58,64,67","1","40,41",""
363,"4,5,7,9,14,15,16,19,22,23,24,32,35,45,47,48,49,52,53,58,64,67","1","16,22,24,49",""
364,"4,5,7,9,14,15,19,23,26,32,35,45,47,48,52,53,58,64,67","1","26",""
365,"21,30,60,61,63","1","37,63",""
366,"4,5,7,9,14,15,19,23,32,35,45,47,48,52,53,56,57,58,64,67","1","4,52,56,57","52"
367,"30,60,61,63","1","34,60,61",""
368,"21,30,60,61,63","1","29,30",""
369,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","9,62",""
370,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","50",""
371,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","32,59",""
372,"17,23,32,33,45,58","1","33,55",""
373,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","12,32",""
374,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,63,64,67","1","14,48,51",""
375,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","50,66",""
376,"4,5,7,9,11,13,14,15,17,19,23,32,33,35,45,47,48,52,53,58,64,67","1","13,53,67",""
377,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","44",""
378,"5,7,9,17,19,23,32,33,35,45,47,58,67","1","17",""
379,"4,5,7,9,14,15,19,21,23,30,32,35,39,45,47,48,52,53,58,60,63,64,67","1","39,44",""
380,"4,5,7,9,11,14,15,17,19,23,31,32,35,45,47,48,52,53,58,64,67","1","31,67",""
381,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","12,32",""
382,"4,5,7,9,14,15,19,21,23,30,32,35,38,42,45,47,48,52,53,58,63,64,67","1","38,47,64",""
383,"4,5,7,8,9,14,15,19,23,27,30,32,35,42,45,47,48,52,53,58,64,65,67","1","8,27,65",""
384,"7,14,21,23,30,32,45,58,60,61,63","1","7,58",""
385,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,54,58,63,64,67","1","19,48,51,54",""
386,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","5,15",""
387,"4,5,7,9,11,13,14,15,17,19,23,32,33,35,45,47,48,52,53,58,64,67","1","13,53,67","53"
388,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","9,28",""
389,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,54,58,63,64,67","1","48,54",""
390,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","44",""
391,"30,60,61,63","1","61",""
392,"4,5,7,9,14,15,16,19,23,32,35,45,47,48,52,53,57,58,64,67","1","4,16,52,57",""
393,"4,5,7,9,11,14,15,17,19,23,31,32,35,45,47,48,52,53,56,57,58,64,67","1","31,52,56,57",""
394,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","2,5,15",""
395,"4,5,7,9,11,13,14,15,17,19,23,32,33,35,43,45,47,48,52,53,58,64,67","1","13,43",""
396,"21,30,60,61,63","1","29,37",""
397,"4,5,7,9,14,15,19,21,23,30,32,35,39,45,47,48,52,53,58,60,63,64,67","1","39,44",""
398,"4,5,7,9,14,15,19,22,23,32,35,45,47,48,49,52,53,58,64,67","1","22,49",""
399,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,54,58,63,64,67","1","54","54"
400,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","2,5,15",""
401,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","32,59",""
402,"7,14,21,23,30,32,45,58,60,61,63","1","7,30",""
403,"4,5,7,9,14,15,19,23,24,26,32,35,45,46,47,48,52,53,58,64,67","1","24,26,46",""
404,"4,5,7,9,14,15,19,21,23,30,32,35,39,45,47,48,52,53,58,60,63,64,67","1","39,44",""
405,"4,5,7,9,14,15,19,23,31,32,35,45,47,48,52,53,56,58,64,67","1","31,56,67",""
406,"7,14,21,23,30,32,45,58,60,61,63","1","21,58",""
407,"4,5,7,9,14,15,16,19,22,23,32,35,45,47,48,52,53,58,64,67","1","4,16,22",""
408,"17,23,32,33,45,58","1","33,55","55"
409,"7,14,21,23,30,32,45,58,60,61,63","1","7,30",""
410,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","50,59",""
411,"4,5,7,9,14,15,19,23,32,35,45,47,48,52,53,56,58,64,67","1","56","56"
412,"21,30,60,61,63","1","37,63",""
413,"21,30,60,61,63","1","37,63",""
414,"4,5,7,8,9,14,15,19,23,32,35,42,45,47,48,52,53,58,64,67","1","8,42",""
415,"4,5,7,8,9,14,15,19,23,27,30,32,35,42,45,47,48,52,53,58,64,65,67","1","8,27,47,65",""
416,"4,5,7,9,14,15,19,23,32,35,45,47,48,52,53,57,58,64,67","1","57","57"
417,"4,5,7,9,11,13,14,15,17,19,23,25,32,33,35,43,45,47,48,52,53,58,64,67","1","25,43,53",""
418,"4,5,7,9,11,13,14,15,17,18,19,23,32,33,35,43,45,47,48,52,53,58,64,67","1","18,43",""
419,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,63,64,67","1","14,48,51,64",""
420,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","15",""
421,"4,5,7,9,14,15,19,21,23,30,32,35,39,45,47,48,52,53,58,60,63,64,67","1","2,5,39",""
422,"4,5,7,9,14,15,19,21,23,30,32,35,39,45,47,48,52,53,58,60,63,64,67","1","2,5,39",""
423,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","12,32",""
424,"4,5,7,9,14,15,19,22,23,24,32,35,45,46,47,48,49,52,53,58,64,67","1","22,24,46,49",""
425,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","10,17",""
426,"3,4,5,6,7,9,14,15,19,23,32,35,42,45,47,48,52,53,58,64,67,68","1","3,6,68",""
427,"4,5,7,9,14,15,19,23,32,35,36,42,45,47,48,52,53,58,64,67","1","36",""
428,"7,14,21,23,30,32,45,58,60,61,63","1","21,58","58"
429,"4,5,7,9,11,13,14,15,17,19,23,31,32,35,45,47,48,52,53,58,64,67","1","13,31,35,67",""
430,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","1,12",""
431,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","11",""
432,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,63,64,67","1","19,48",""
433,"4,5,7,8,9,14,15,19,23,27,30,32,35,42,45,47,48,52,53,58,63,64,67","1","8,27,42,47",""
434,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","1,11",""
435,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","59","59"
436,"4,5,7,9,14,15,19,23,30,32,35,38,42,45,47,48,52,53,58,63,64,67","1","38",""
437,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","10,66",""
438,"4,5,7,9,14,15,19,21,23,30,32,35,39,45,47,48,52,53,58,60,63,64,67","1","39,44",""
439,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,63,64,67","1","19,48,51",""
440,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","59",""
441,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","59",""
442,"30,60,61,63","1","60,61","60"
443,"4,5,7,9,11,13,14,15,17,19,23,32,35,45,47,48,52,53,58,64,67","1","13,35",""
444,"4,5,7,9,14,15,19,23,32,35,45,47,48,52,53,56,58,64,67","1","4,52,56",""
445,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","44",""
446,"21,30,60,61,63","1","29,37",""
447,"30,60,61,63","1","61","61"
448,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","15,19",""
449,"4,5,7,9,14,15,19,22,23,32,35,45,47,48,52,53,58,64,67","1","4,22",""
450,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","50,66",""
451,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","19",""
452,"3,4,5,7,9,14,15,19,23,32,35,45,47,48,52,53,58,64,67","1","3,20",""
453,"4,5,7,9,14,15,16,19,22,23,32,35,45,47,48,49,52,53,58,64,67","1","4,16,22,49",""
454,"21,30,60,61,63","1","29,37",""
455,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","1,12",""
456,"4,5,7,9,14,15,19,23,24,32,35,45,46,47,48,49,52,53,58,64,67","1","24,46,49",""
457,"17,23,32,33,45,58","1","33,55",""
458,"3,4,5,7,9,14,15,19,22,23,32,35,42,45,47,48,52,53,58,64,67","1","3,22",""
459,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","10",""
460,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","1,11",""
461,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","1,12",""
462,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,63,64,67","1","14,47,51,64",""
463,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,58,60,63,64,67","1","15,19",""
464,"3,4,5,7,9,14,15,19,23,32,35,41,42,45,47,48,52,53,58,64,67,68","1","3,20,41,68",""
465,"30,60,61,63","1","63",""
466,"4,5,7,9,11,13,14,15,17,19,23,31,32,35,45,47,48,52,53,58,64,67","1","31,35",""
467,"4,5,7,9,11,13,14,15,17,19,23,25,32,33,35,43,45,47,48,52,53,58,64,67","1","25,43,53",""
468,"7,14,21,23,30,32,45,58,60,61,63","1","21,58",""
469,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","62","62"
470,"30,60,61,63","1","34,63",""
471,"17,23,32,33,45,58","1","33,55",""
472,"30,60,61,63","1","63","63"
473,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","10,17",""
474,"7,14,21,23,30,32,45,58,60,61,63","1","7,21,58",""
475,"4,5,7,9,14,15,19,23,24,26,32,35,45,46,47,48,52,53,58,64,67","1","24,26,46",""
476,"30,60,61,63","1","34,60,61",""
477,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","10,66",""
478,"4,5,7,9,14,15,19,23,26,32,35,45,46,47,48,52,53,58,64,67","1","20,26,46",""
479,"30,60,61,63","1","34,63",""
480,"4,5,7,8,9,14,15,19,23,32,35,36,42,45,47,48,52,53,58,64,67","1","36,42",""
481,"4,5,7,9,14,15,19,23,32,35,40,41,42,45,47,48,52,53,58,64,67,68","1","40,41,68",""
482,"4,5,7,9,14,15,19,21,23,30,32,35,45,47,48,52,53,54,58,63,64,67","1","14,54,64","64"
483,"4,5,7,9,14,15,16,19,22,23,32,35,45,47,48,49,52,53,58,64,67","1","16,22,49",""
484,"4,5,7,8,9,14,15,19,23,30,32,35,40,42,45,47,48,52,53,58,64,65,67","1","40,65","65"
485,"4,5,7,9,14,15,19,23,32,35,41,42,45,47,48,52,53,58,64,67,68","1","41,68",""
486,"7,14,21,23,30,32,45,58,60,61,63","1","7,30,58",""
487,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","10,50,66","66"
488,"4,5,7,9,11,13,14,15,17,19,23,32,35,45,47,48,52,53,58,64,67","1","67","67"
489,"21,30,60,61,63","1","29,37",""
490,"7,14,21,23,30,32,45,58,60,61,63","1","21,58",""
491,"4,5,7,9,14,15,16,19,23,24,26,32,35,45,47,48,52,53,57,58,64,67","1","16,24,26,57",""
492,"4,5,7,9,14,15,19,23,32,35,41,45,47,48,52,53,58,64,67","1","20,41",""
493,"4,5,7,9,11,13,14,15,17,18,19,23,25,32,33,35,45,47,48,52,53,58,64,67","1","18,25",""
494,"4,5,7,9,11,14,15,17,19,23,32,33,35,45,47,48,58,67","1","28",""
495,"4,5,7,9,14,15,19,23,32,35,36,42,45,47,48,52,53,58,64,67","1","36,42",""
496,"4,5,7,9,14,15,19,23,32,35,45,47,48,52,53,56,58,64,67","1","4,52,56",""
497,"4,5,7,9,14,15,19,23,32,35,41,42,45,47,48,52,53,58,64,67,68","1","41,68","68"
498,"5,7,9,11,17,19,23,32,33,35,45,47,58,67","1","59",""
499,"30,60,61,63","1","60,61",""
500,"30,60,61,63","1","60,61",""

